Scenario,Fold,Precision,Recall,F1-Score,Accuracy
No Balancing,1,0.6674505277814511,0.6086522858261989,0.5830733462249991,0.616751269035533
No Balancing,2,0.6932246130775543,0.6283116501594762,0.6040662116382796,0.6446700507614214
No Balancing,3,0.6510053173811898,0.608191063734542,0.5871286608128714,0.6192893401015228
No Balancing,4,0.7120838117106774,0.6650509204857031,0.636293477362104,0.6751269035532995
No Balancing,5,0.20856092436974788,0.3755693581780538,0.26613341865301554,0.41624365482233505
Weighted Loss,1,0.6946836398404523,0.5882100889709585,0.5669923273657289,0.6091370558375635
Weighted Loss,2,0.6784636620441705,0.5956128644172123,0.569938820112023,0.6091370558375635
Weighted Loss,3,0.7161851411264244,0.6335813608639695,0.6121649722076787,0.6446700507614214
Weighted Loss,4,0.7204296549197514,0.6460198086285043,0.6136924119303326,0.6573604060913706
Weighted Loss,5,0.2252872528725287,0.3743271221532091,0.2733728751931642,0.4213197969543147
Oversampling with Augmentation,1,0.6876311402081978,0.632618068378938,0.6167778197184499,0.6472081218274112
Oversampling with Augmentation,2,0.20453482935951378,0.3653209109730849,0.2622409340248874,0.4086294416243655
Oversampling with Augmentation,3,0.21818885448916409,0.39254658385093166,0.28005729746936175,0.4365482233502538
Oversampling with Augmentation,4,0.22011220112201121,0.3693581780538302,0.268089264612308,0.41624365482233505
Oversampling with Augmentation,5,0.21550075691179987,0.3789855072463768,0.2737145198861185,0.42385786802030456
Oversampling without Augmentation,1,0.218625678119349,0.3347826086956522,0.23971183013144592,0.38071065989847713
Oversampling without Augmentation,2,0.21104262968669749,0.3447204968944099,0.24691535150645624,0.39086294416243655
Oversampling without Augmentation,3,0.22990696782237569,0.3272256728778468,0.23343743326927183,0.3730964467005076
Oversampling without Augmentation,4,0.21624386845847965,0.37484472049689443,0.2645921703782255,0.4137055837563452
Oversampling without Augmentation,5,0.2359130231470657,0.3300207039337474,0.23926868044515104,0.3756345177664975
